1,1486147709_o8emOHMO5jh1kKEGR_Source,,/assets/videos/1486147709_o8emOHMO5jh1kKEGR_Source.mp4,'2017/04/29 16:57:15','2020/05/10 17:04:15'
2,1492947774_mk90julo1foZp9X2_Source,,/assets/videos/1492947774_mk90julo1foZp9X2_Source.mp4,'2017/05/02 11:15:16','2020/05/10 17:04:15'
3,1493558884_2K8OyIyBjUqWp83l_Source,,/assets/videos/1493558884_2K8OyIyBjUqWp83l_Source.mp4,'2017/05/02 11:14:17','2020/05/10 17:04:15'
4,1496550143_W0w40HWq5IyXoJEQ_Source,,/assets/videos/1496550143_W0w40HWq5IyXoJEQ_Source.mp4,'2018/10/22 01:10:21','2020/05/10 17:04:15'
5,1497738498_ALvb1f7aWs8lyZoK_Source,,/assets/videos/1497738498_ALvb1f7aWs8lyZoK_Source.mp4,'2017/06/18 23:33:05','2020/05/10 17:04:15'
6,1504179612_z4WZMIEWzTkgp3KK_Source,,/assets/videos/1504179612_z4WZMIEWzTkgp3KK_Source.mp4,'2017/09/03 07:20:35','2020/05/10 17:04:15'
7,1511339941_Yl1MOuAlKF0O52je_Source,,/assets/videos/1511339941_Yl1MOuAlKF0O52je_Source.mp4,'2017/11/23 09:54:41','2020/05/10 17:04:15'
8,1528574081_lJ1Z9C6gXIWKrV1R_Source,,/assets/videos/1528574081_lJ1Z9C6gXIWKrV1R_Source.mp4,'2018/09/26 20:39:22','2020/05/10 17:04:15'
9,1535895788_3Jpp2tNwzS4rKBwl_Source,,/assets/videos/1535895788_3Jpp2tNwzS4rKBwl_Source.mp4,'2018/09/03 21:43:03','2020/05/10 17:04:15'
10,1538284971_wRoj3hgywKtQjwvWg_Source,,/assets/videos/1538284971_wRoj3hgywKtQjwvWg_Source.mp4,'2018/12/22 12:56:08','2020/05/10 17:04:15'
11,1539436385_lJq1ls6DmHWaLQyB_Source,,/assets/videos/1539436385_lJq1ls6DmHWaLQyB_Source.mp4,'2018/10/15 22:38:18','2020/05/10 17:04:15'
12,1541260583_LXy0ktkL9DI848eR1_Source,,/assets/videos/1541260583_LXy0ktkL9DI848eR1_Source.mp4,'2018/12/15 12:47:12','2020/05/10 17:04:15'
13,1541591343_Ol2D6F1waKS64gQAa_Source,,/assets/videos/1541591343_Ol2D6F1waKS64gQAa_Source.mp4,'2020/05/08 11:22:49','2020/05/10 17:04:15'
14,1542540885_8evJGF32YtlYazyo_Source,,/assets/videos/1542540885_8evJGF32YtlYazyo_Source.mp4,'2018/11/23 17:27:16','2020/05/10 17:04:15'
15,1543253782_5Qg88hbogHW0KrWe_Source,,/assets/videos/1543253782_5Qg88hbogHW0KrWe_Source.mp4,'2018/12/09 14:42:09','2020/05/10 17:04:15'
16,1546161014_jeYWoIZJ3Te9kXzr_Source,,/assets/videos/1546161014_jeYWoIZJ3Te9kXzr_Source.mp4,'2019/01/02 18:57:59','2020/05/10 17:04:15'
17,1547422225_7XBJ1tLrqbumpz8qN_Source,,/assets/videos/1547422225_7XBJ1tLrqbumpz8qN_Source.mp4,'2019/01/26 22:00:59','2020/05/10 17:04:15'
